country			state			city			zip code			address			name			phone			features
USA 			TX			Houston			77024			900 Memorial City Mall,,			Macy's Memorial City			713-461-0400			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			TX			The Woodlands			77380			1201 Lake Woodlands Drive,,			Macy's The Woodlands Mall			281-362-6100			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			TX			Humble			77338			20131 Highway 59 N,,			Macy's Deerbrook			281-973-3500			BRIDAL,MATTRESS,BOPS
USA 			TX			Houston			77056-5504			2727 Sage Road,,			Macy's Houston Galleria at Sage			713-968-1985			PERSONAL_SHOPPER,MATTRESS
USA 			TX			Houston			77056			5135 W. Alabama,,			Macy's Houston Galleria at Hidalgo			832-667-4200			PERSONAL_SHOPPER,BRIDAL,MATTRESS,BOPS,HAS_EVENTS
USA 			TX			Houston			77082			800 West Oaks Mall,,			Macy's West Oaks Mall			281-531-3700			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Pasadena			77502			1101 East Southmore,,			Macy's Pasadena Town Square			713-475-3250			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Sugar Land			77478			16511 Southwest Freeway,,			Macy's First Colony Mall			281-243-7600			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			TX			Houston			77075			100 Almeda Mall,,			Macy's Almeda Mall			713-943-4300			BOPS,HAS_EVENTS
USA 			TX			Pearland			77584			11200 Broadway,Suite 950,			Macy's Pearland Town Center			713-280-2500			BOPS
USA 			TX			Baytown			77521			5000 San Jacinto Mall,,			Macy's San Jacinto Mall			281-421-4300			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Friendswood			77546			200 BayBrook Mall,,			Macy's BayBrook			281-226-5300			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			TX			College Station			77840			1508 Harvey Road,,			Macy's Post Oak Mall (A&M)			979-764-3258			BRIDAL,BOPS
USA 			NY			Yonkers			10704-1000			800 Central Park Ave.,,			Macy's Cross County			914-964-6680			MATTRESS,BRIDAL,BOPS,HAS_EVENTS
USA 			NJ			Paramus			07652			100 Paramus Park,,			Macy's Paramus Park			201-967-1400			MATTRESS,BRIDAL,FURNITURE_GALLERY,BOPS
USA 			PA			Philadelphia			19107			1300 Market Street,,			Macy's Center City Philadelphia			215-241-9000			PERSONAL_SHOPPER,BRIDAL,MATTRESS,BOPS,HAS_EVENTS
USA 			NJ			Cherry Hill			08002			2000 Rt. 38; Suite 200,Cherry Hill Mall,			Macy's Cherry Hill			856-665-5000			PERSONAL_SHOPPER,MATTRESS,BRIDAL,BOPS,HAS_EVENTS
USA 			PA			Ardmore			19003			40 W. Montgomery Ave.,,			Macy's Suburban Square			610-645-1399			BOPS,HAS_EVENTS
USA 			PA			Philadelphia			19149			2399 Cottman Avenue,,			Macy's Northeast (Roosevelt Mall)			215-331-5500			FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			NJ			Maple Shade			08052			493 Route 38 West,,			Macy's Furniture Gallery			856-667-6495			FURNITURE_GALLERY,MATTRESS
USA 			NJ			Deptford			08096			1750 Almonesson Road,,			Macy's Deptford			856-848-3300			MATTRESS,BRIDAL,BOPS,HAS_EVENTS
USA 			PA			Springfield			19064			Baltimore Pike & Sproul Road,Springfield Mall,			Macy's Springfield PA			610-328-1234			PERSONAL_SHOPPER,MATTRESS,BRIDAL,BOPS,HAS_EVENTS
USA 			NJ			Moorestown			08057			400 West Rt. 38,,			Macy's Moorestown			856-642-6442			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			NJ			Voorhees			08043			6003 Voorhees Town Center,,			Macy's Echelon Mall			856-772-1800			MATTRESS,BOPS
USA 			PA			Plymouth Meeting			19462			4444 Plymouth Meeting Mall,,			Macy's Plymouth Meeting			610-825-1700			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			PA			Willow Grove			19090			2500 West Moreland Road,,			Macy's Willow Grove			215-658-4700			PERSONAL_SHOPPER,MATTRESS,BRIDAL,BOPS,HAS_EVENTS
USA 			PA			King Of Prussia			19406			680 West DeKalb Pike,The Court at King of Prussia,			Macy's King of Prussia			610-337-9350			PERSONAL_SHOPPER,MATTRESS,BRIDAL,BOPS
USA 			PA			Bensalem			19020			U.S. Rt. 1 & Bristol Rd.,,			Macy's Neshaminy Mall			215-355-4000			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			PA			North Wales			19454			Montgomery Mall,Routes 202 & 309,			Macy's Montgomery			215-362-9100			BRIDAL,MATTRESS,BOPS
USA 			PA			Langhorne			19047-1824			2300 East Lincoln Highway,,			Macy's Oxford Valley			215-752-1340			PERSONAL_SHOPPER,MATTRESS,BRIDAL,BOPS
USA 			AZ			Phoenix			85016-4202			2410 E. Camelback Road,,			Macy's Biltmore Fashion Park			602-468-2100			PERSONAL_SHOPPER,VISITOR_CENTER,BRIDAL,BOPS
USA 			AZ			Scottsdale			85251			7014 East Camelback Road,Suite 5000,			Macy's Scottsdale Fashion Square			480-840-0333			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			AZ			Phoenix			85021			9700 Metro Parkway,,			Macy's Metro Center			602-943-2351			BOPS
USA 			AZ			Phoenix			85032-7702			4500 E. Cactus Road,,			Macy's Paradise Valley Mall			602-494-2100			BRIDAL,BOPS
USA 			AZ			Chandler			85226			3107 West Chandler Blvd,,			Macy's Chandler Fashion Center			480-821-8611			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			AZ			Glendale			85308			7600 W. Arrowhead Towne Ctr.,,			Macy's Arrowhead Towne Center			623-979-7900			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			AZ			Gilbert			85295			2190 East Williams Field Road,,			Macy's Santan Village			480-792-6333			BRIDAL,BOPS
USA 			AZ			Mesa			85206			6535 E. Southern Avenue,,			Macy's Superstition Springs Center			480-807-1400			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			AZ			Tucson			85705-1662			4470 N. Oracle Road,,			Macy's Tucson Mall			520-798-2100			BRIDAL,BOPS
USA 			AZ			Tucson			85711-3902			5850 E. Broadway Street,,			Macy's Park Place			520-322-2100			VISITOR_CENTER,BRIDAL,BOPS
USA 			NY			White Plains			10601-2601			100 Main Street,White Plains Galleria,			Macy's White Plains			914-946-5015			MATTRESS,BRIDAL,FURNITURE_GALLERY,BOPS
USA 			TX			San Antonio			78205			151 East Bowie Street,,			Macy's San Antonio Rivercenter			210-554-6850			BOPS
USA 			TX			San Antonio			78224			2310 Southwest Military Drive,,			Macy's South Park			210-334-2000			BOPS
USA 			TX			San Antonio			78216			7400 San Pedro Ave.,Suite 200,			Macy's North Star Mall			210-340-4200			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			San Antonio			78238			6301 Northwest Loop 410,,			Macy's Ingram Park Mall			210-647-2400			BOPS
USA 			TX			San Antonio			78256			15900 La Cantera Parkway,,			Macy's La Cantera			210-332-4800			BRIDAL,BOPS
USA 			TX			San Antonio			78247			6909 N. Loop 1604 East,,			Macy's Rolling Oaks Shopping Center			210-651-8800			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Austin			78746			2901 Capitol of Texas Highway,,			Macy's Barton Creek Square Mall			512-329-2300			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Austin			78759			11701 North MoPac Expressway,,			Macy's at The Domain			(512) 490-3300			BRIDAL,BOPS,HAS_EVENTS
USA 			TX			Austin			78613			11250 Lake Stop Blvd.,,			Macy's Lakeline Mall			512-918-7300			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Temple			76502			3111 S. 31st Street,,			Macy's Temple Mall (Colonial)			254-770-3700			BRIDAL,BOPS
USA 			TX			Corpus Christi			78411			5488 South Padre Island Drive,,			Macy's La Palmera Mall			361-994-2238			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Laredo			78041			5300 San Dario,,			Macy's Mall del Norte			956-724-3020			BOPS
USA 			CA			San Diego			92108-1205			7017 Friars Road,,			Macy's Fashion Valley			619-299-9811			PERSONAL_SHOPPER,BOPS
USA 			CA			San Diego			92101-6145			160 Horton Plaza,,			Macy's Westfield Horton Plaza			619-231-4747			BOPS
USA 			CA			San Diego			92108-4206			1555 Camino de La Reina,,			Macy's Mission Valley Home			619-291-1111			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			CA			San Diego			92108			1702 Camino Del Rio North,,			Macy's Westfield Mission Valley			619-297-2511			BOPS
USA 			CA			San Diego			92122-1201			4333 La Jolla Village Drive,,			Macy's Westfield UTC			858-453-2060			BRIDAL,BOPS
USA 			CA			National City			91950			3000 Plaza Bonita Road,,			Macy's Westfield Plaza Bonita			619-267-3500			BOPS
USA 			CA			Chula Vista			91910-5339			555 Broadway Avenue,,			Macy's Chula Vista Center			619-427-1161			BOPS
USA 			CA			La Mesa			91942-3016			5500 Grossmont Center Drive,,			Macy's Grossmont Center			619-465-1121			BOPS,HAS_EVENTS
USA 			CA			El Cajon			92020			291 Fletcher Pkwy.,,			Macy's Westfield Parkway			619-440-1011			BOPS
USA 			CA			Chula Vista			91944			2015 Birch Road,,			Macy's Otay Ranch Town Center			619-591-7100			BOPS,HAS_EVENTS
USA 			CA			Escondido			92025-8005			220 E. Via Rancho Pkwy,,			Macy's Westfield North County			760-489-2336			BRIDAL,MATTRESS,BOPS
USA 			CA			Carlsbad			92008-1202			2559 El Camino Real,,			Macy's Westfield Plaza Camino Real			760-729-9121			RESTAURANT,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			CA			Temecula			92591			40780 Winchester Blvd.,,			Macy's Temecula Promenade			951-541-3333			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			CA			Mission Viejo			92691			300 Shops At Mission Viejo,,			Macy's at The Shops at Mission Viejo			949-364-3111			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			CA			Laguna Hills			92653-3613			24100 Laguna Hills Mall,,			Macy's Laguna Hills Mall			949-586-1901			BOPS
USA 			TX			Dallas			75225			8687 North Central Expressway,,			Macy's NorthPark Center			469-232-3600			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			TX			Mesquite			75150			4000 Town East Blvd.,,			Macy's Town East			972-681-6700			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Dallas			75237			3550 West Camp Wisdom Road,,			Macy's Redbird (Southwest Ctr)			972-780-6700			BOPS
USA 			TX			Dallas			75240-5061			13375 Noel Road,,			Macy's Dallas Galleria			214-295-1300			PERSONAL_SHOPPER,RESTAURANT,BRIDAL,MATTRESS,BOPS,HAS_EVENTS
USA 			TX			Irving			75062			3801 Irving Mall,,			Macy's Irving Mall			972-257-4800			MATTRESS,BOPS
USA 			TX			Garland			75040			701 Horseshoe Drive,,			Macy's Firewheel Town Center			972-244-2500			BRIDAL,BOPS
USA 			TX			Plano			75075			801 North Central Expressway,,			Macy's Collin Creek Mall			972-422-8700			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			TX			Plano			75093			6209 West Park Blvd,,			Macy's -  The Shops at Willow Bend			469-366-3676			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Lewisville			75067			2401 S. Stemmons Frwy.,,			Macy's Vista Ridge Mall			972-315-5600			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Arlington			76015			3841 South Cooper Street,,			Macy's Parks at Arlington			817-472-4500			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Frisco			75034			2609 Preston Road,,			Macy's Stonebriar Centre			972-731-3600			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			TX			Hurst			76053			1101 Melbourne Road,Suite 3000,			Macy's North East Mall			817-317-5300			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			TX			Fairview			75069			201 Stacy Road,,			Macy's Village at Fairview			972-649-5800			BRIDAL,BOPS
USA 			TX			Denton			76205			2201 I35 East South,,			Macy's Golden Triangle			940-783-4000			BOPS
USA 			TX			Fort Worth			76132			4650 South Hulen Street,,			Macy's Hulen Mall			817-294-6900			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			CA			Santa Clara			95050			2801 Stevens Creek Blvd.,,			Macy's Westfield Valley Fair			408-248-3333			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			CA			San Jose			95122-1347			2210 Tully Road,,			Macy's Eastridge			408-238-3333			BOPS
USA 			CA			San Jose			95123-1215			5411 Thornwood Drive,,			Macy's Westfield Oakridge			408-224-3333			MATTRESS,BOPS
USA 			CA			Cupertino			95014-2507			10333 Wolfe Road,,			Macy's Vallco (Cupertino)			408-255-3433			BOPS
USA 			CA			Sunnyvale			94086-6153			200 W. Washington Avenue,,			Macy's Sunnyvale			408-732-3333			BOPS
USA 			CA			Newark			94560-5253			200 Newpark Mall,,			Macy's Newpark Mall			510-797-3333			BRIDAL,MATTRESS,BOPS
USA 			CA			Palo Alto			94304-1412			300 Stanford Shopping Center,,			Macy's Stanford Shopping Center			650-326-3333			PERSONAL_SHOPPER,BRIDAL,BOPS,HAS_EVENTS
USA 			CA			Union City			94587-2026			1208 Whipple Road,,			Macy's Union City Furniture Clearance			510-441-8833			
USA 			CA			Hayward			94545-2156			800 Southland Mall,,			Macy's Southland Mall			510-786-4300			MATTRESS,BOPS
USA 			CA			Pleasanton			94588-3213			1300 Stoneridge Mall,,			Macy's Stoneridge Shopping Center			925-463-3333			PERSONAL_SHOPPER,BRIDAL,BOPS,HAS_EVENTS
USA 			CA			Pleasanton			94588-3001			4255 Rosewood Drive,,			Macy's Pleasanton Furniture Store			925-227-0333			FURNITURE_GALLERY,MATTRESS
USA 			CA			Capitola			95010			1865 41st Avenue,,			Macy's Capitola Mall			831-621-3333			BOPS,HAS_EVENTS
USA 			CA			San Mateo			94403-3408			301 Hillsdale Mall,,			Macy's Hillsdale Mall			650-341-3333			BRIDAL,BOPS,HAS_EVENTS
USA 			CA			San Mateo			94403-2729			2838 South El Camino,,			Macy's Hillsdale Furniture			650-350-1111			FURNITURE_GALLERY,MATTRESS
USA 			CA			San Leandro			94578-1947			15555 E. 14th Street,,			Macy's Bayfair Center			510-357-3333			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			CA			West Covina			91790			1111 Plaza Drive,,			Macy's Plaza at West Covina			626-962-5400			BRIDAL,MATTRESS,BOPS
USA 			CA			City of Industry			91748			1600 South Azusa Ave.,#400,			Macy's Puente Hills Mall			626-965-5941			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			CA			Brea			92821-5762			200 Brea Mall,,			Macy's Brea Mall			714-990-1400			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			CA			Montclair			91763			5200 Montclair Plaza Lane,,			Macy's Montclair Plaza			909-621-3011			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			CA			Cerritos			90701			500 Los Cerritos Center,,			Macy's Los Cerritos Center			562-860-0411			BRIDAL,BOPS
USA 			CA			Lakewood			90712-2409			5100 Lakewood Blvd.,,			Macy's Lakewood Center			562-529-5111			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			CA			Santa Ana			92701			2850 North Main Street,,			Macy's Westfield MainPlace			714-547-7211			BRIDAL,MATTRESS,BOPS
USA 			FL			Gainesville			32605			6671 Newberry Road,,			Macy's Oaks Mall			352-333-2300			BRIDAL,MATTRESS,BOPS
USA 			FL			Daytona Beach			32114			1700 W. International Speedway Blvd.,,			Macy's Volusia Mall			386-254-3300			BRIDAL,MATTRESS,BOPS
USA 			FL			Ocala			34474			3100 S.W. College Rd,,			Macy's Paddock Mall			352-873-5300			BOPS
USA 			FL			Sanford			32771			330 Town Center Circle,,			Macy's Seminole Towne Center			407-328-3300			MATTRESS,BOPS
USA 			FL			Altamonte Springs			32701			451 E. Altamonte Dr.,,			Macy's Altamonte Mall			407-830-2300			BRIDAL,MATTRESS,BOPS
USA 			FL			Altamonte Springs			32714			820 West Town Parkway,,			Macy's Altamonte Furniture Gallery			407-389-2500			FURNITURE_GALLERY,MATTRESS
USA 			FL			Oviedo			32765			1400 Oviedo Market Place Blvd.,,			Macy's Oviedo Marketplace			407-971-7300			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			GA			Savannah			31406			7804 Abercorn Ext.,,			Macy's Oglethorpe Mall			912-353-3611			BRIDAL,MATTRESS,BOPS
USA 			FL			Orlando			32803			3505 East Colonial Dr.,,			Macy's Orlando Fashion Square			407-896-5300			FURNITURE_GALLERY,MATTRESS,BOPS
USA 			FL			Orlando			32839			4298 Millenia Blvd.,,			Macy's The Mall at Millenia			407-264-2300			PERSONAL_SHOPPER,BRIDAL,MATTRESS,BOPS
USA 			FL			Orlando			32809			8001 S. Orange Blossom Trail,,			Macy's Florida Mall			407-854-2300			BRIDAL,MATTRESS,BOPS
USA 			FL			Merritt Island			32952			777 E. Merritt Island Causeway,,			Macy's Merritt Square Mall			321-454-1300			MATTRESS,BOPS
USA 			FL			Wesley Chapel			33543			2230 Bruce B Downs Blvd,,			Macy's at the Shops at Wiregrass			813-528-4300			VISITOR_CENTER,BRIDAL,BOPS
USA 			FL			Port Richey			34668			9409 U.S. 19 North,,			Macy's Gulfview Square			727-836-1400			MATTRESS,BOPS
USA 			FL			Tallahassee			32301			1500 Apalachee Parkway,,			Macy's Governor's Square Mall			850-325-2800			BRIDAL,MATTRESS,BOPS
USA 			IN			Indianapolis			46220			6101 North Keystone Avenue,,			Macy's Glendale Shopping Center			317-255-6611			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
USA 			IN			Greenwood			46142			1251 U.S. 31 North,Greenwood Park Mall,			Macy's Greenwood Park Mall			317-882-6247			BRIDAL,MATTRESS,BOPS
USA 			IN			Indianapolis			46250			6020 East 82nd Street,Castleton Mall,			Macy's Castleton Square			317-579-4500			PERSONAL_SHOPPER,BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS,HAS_EVENTS
USA 			IN			Bloomington			47401			3068 East Third Street,,			Macy's College Mall			812-333-8781			BOPS
USA 			IN			Muncie			47303			3501 N. Granville Avenue,,			Macy's Muncie Mall			765-286-0011			BOPS
USA 			IN			LaFayette			47905			2415 Sagamore Parkway S,Suite D,			Macy's Tippecanoe Mall			765-447-2141			BRIDAL,BOPS,HAS_EVENTS
USA 			IN			Terre Haute			47802			3401 S. US Hwy 41,,			Macy's Honey Creek Square			812-234-1546			BRIDAL,BOPS
USA 			OH			Cincinnati			45251			9531 Colerain Avenue,,			Macy's Northgate Mall			513-245-5200			BRIDAL,MATTRESS,BOPS
USA 			KY			Florence			41042			5000 Mall Road,,			Macy's Florence Mall			859-525-5600			BRIDAL,FURNITURE_GALLERY,MATTRESS,BOPS
